id,metric1,metric2,metric3,metric4,metric5,metric6,metric7,metric8
3,67,63,89,54,39,9,90,56
3,49,1,82,35,9,41,53,24
5,85,47,44,39,92,20,95,78
5,96,74,37,93,91,21,76,9
1,15,1,40,28,58,27,20,58
5,73,57,7,50,65,81,1,12
1,86,5,17,26,16,24,79,62
1,32,73,33,2,32,91,22,16
2,7,45,46,69,73,96,98,35
2,77,80,37,41,74,3,58,94
2,15,61,55,48,60,16,86,76
4,37,39,81,90,31,15,64,90
5,40,37,23,88,3,82,59,60
2,72,13,49,12,27,87,78,66
1,24,57,26,33,15,66,49,68
4,90,78,89,93,31,14,21,69
1,72,95,32,93,53,25,10,92
4,51,84,29,15,53,29,4,53
5,86,50,54,9,10,31,36,97
4,80,29,93,62,26,32,50,39
4,73,92,75,87,23,38,32,43
2,93,47,61,81,10,20,22,9
5,40,19,96,53,21,89,30,90
3,92,80,90,12,78,84,52,43
3,14,82,17,98,86,75,94,44
1,16,100,60,24,63,13,67,34
4,86,76,73,92,59,73,26,28
1,73,62,87,26,21,49,33,47
5,66,47,56,87,62,10,38,41
2,35,23,78,91,10,12,42,21
3,99,22,55,99,38,53,37,57
1,86,71,37,98,15,12,43,63
1,8,76,22,70,41,50,25,49
1,39,90,25,100,33,88,98,80
5,55,70,64,51,49,10,44,73
3,46,63,75,52,75,78,82,64
4,85,5,14,45,9,77,14,86
2,47,42,86,93,9,7,86,92
3,87,72,78,72,81,75,96,85
1,15,50,70,13,36,10,82,95
1,85,74,88,71,30,14,21,53
4,44,59,69,84,49,56,49,63
1,30,13,4,3,9,69,58,67
1,60,63,29,19,97,35,100,86
5,95,20,7,23,78,97,61,6
3,48,21,30,78,19,59,58,18
2,22,14,95,50,81,90,98,64
1,28,44,16,19,59,8,12,13
4,36,43,30,56,11,23,13,12
2,27,16,26,80,94,79,51,28
2,72,13,49,12,27,87,78,66
1,24,57,26,33,15,66,49,68
4,90,78,89,93,31,14,21,69
1,72,95,32,93,53,25,10,92
4,51,84,29,15,53,29,4,53
5,86,50,54,9,10,31,36,97
4,80,29,93,62,26,32,50,39
4,73,92,75,87,23,38,32,43
2,93,47,61,81,10,20,22,9
5,40,19,96,53,21,89,30,90
3,92,80,90,12,78,84,52,43
3,14,82,17,98,86,75,94,44
1,16,100,60,24,63,13,67,34
4,86,76,73,92,59,73,26,28
1,73,62,87,26,21,49,33,47
5,66,47,56,87,62,10,38,41
2,35,23,78,91,10,12,42,21
3,99,22,55,99,38,53,37,57
1,86,71,37,98,15,12,43,63
1,8,76,22,70,41,50,25,49
1,39,90,25,100,33,88,98,80
5,55,70,64,51,49,10,44,73
1,15,50,70,13,36,10,82,95
1,85,74,88,71,30,14,21,53
4,44,59,69,84,49,56,49,63
1,30,13,4,3,9,69,58,67
1,60,63,29,19,97,35,100,86
5,95,20,7,23,78,97,61,6
3,48,21,30,78,19,59,58,18
2,22,14,95,50,81,90,98,64
1,28,44,16,19,59,8,12,13
4,36,43,30,56,11,23,13,12
2,27,16,26,80,94,79,51,28
2,72,13,49,12,27,87,78,66
1,24,57,26,33,15,66,49,68
4,90,78,89,93,31,14,21,69
1,72,95,32,93,53,25,10,92
4,51,84,29,15,53,29,4,53
5,86,50,54,9,10,31,36,97
4,80,29,93,62,26,32,50,39
4,73,92,75,87,23,38,32,43
1,15,50,70,13,36,10,82,95
1,85,74,88,71,30,14,21,53
4,44,59,69,84,49,56,49,63
1,30,13,4,3,9,69,58,67
1,60,63,29,19,97,35,100,86
5,95,20,7,23,78,97,61,6
3,48,21,30,78,19,59,58,18
2,22,14,95,50,81,90,98,64
1,28,44,16,19,59,8,12,13
4,36,43,30,56,11,23,13,12
2,27,16,26,80,94,79,51,28
2,72,13,49,12,27,87,78,66
1,24,57,26,33,15,66,49,68
4,90,78,89,93,31,14,21,69
1,72,95,32,93,53,25,10,92
4,51,84,29,15,53,29,4,53
5,86,50,54,9,10,31,36,97
4,80,29,93,62,26,32,50,39
4,73,92,75,87,23,38,32,43
3,48,21,30,78,19,59,58,18



